structure,family,split,ops,n_ops,levels,n_levels,n_pairs
cose2_Defect-Free.png,cose2,test,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
cose2_Fe_adatom.png,cose2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
cose2_Fe_doped.png,cose2,val,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
cose2_Ni_adatom.png,cose2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
cose2_Ni_doped.png,cose2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
cose2_Vacancy-Anion-03.png,cose2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
cose2_Vacancy-Anion-06A.png,cose2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
cose2_Vacancy-Anion-06B.png,cose2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
cose2_Vacancy-Anion-09A.png,cose2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
cose2_Vacancy-Anion-09B.png,cose2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
cose2_Vacancy-Metal.png,cose2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
cro2_Anti-Anion.png,cro2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
cro2_Anti-Metal.png,cro2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
cro2_Cr_adatom.png,cro2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
cro2_Defect-Free.png,cro2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
cro2_Int-Anion.png,cro2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
cro2_Int-Metal.png,cro2,test,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
cro2_Vacancy-Anion-03.png,cro2,val,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
cro2_Vacancy-Metal.png,cro2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
crse2_Adatom-Li.png,crse2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
crse2_Anti-Anion.png,crse2,val,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
crse2_Anti-Metal.png,crse2,test,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
crse2_Defect-Free.png,crse2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
crse2_Doped-Li.png,crse2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
crse2_Ti_adatom.png,crse2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
crse2_Ti_doped.png,crse2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
crse2_V_adatom.png,crse2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
crse2_V_doped.png,crse2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
crse2_Vacancy-Anion-03.png,crse2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
crse2_Vacancy-Metal.png,crse2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
crte2_Adatom-Li.png,crte2,test,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
crte2_Anti-Anion.png,crte2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
crte2_Anti-Metal.png,crte2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
crte2_Cr_adatom.png,crte2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
crte2_Defect-Free.png,crte2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
crte2_Int-Anion.png,crte2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
crte2_Int-Metal.png,crte2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
crte2_Ti_adatom.png,crte2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
crte2_V_adatom.png,crte2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
crte2_Vacancy-Anion-03.png,crte2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
crte2_Vacancy-Metal.png,crte2,val,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
cus2_Cu_adatom.png,cus2,val,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
cus2_Defect-Free.png,cus2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
cus2_Int-Anion.png,cus2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
cus2_Int-Metal.png,cus2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
cus2_Vacancy-Anion-03.png,cus2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
cus2_Vacancy-Metal.png,cus2,test,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
cuse2_Cu_adatom.png,cuse2,val,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
cuse2_Defect-Free.png,cuse2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
cuse2_Int-Anion.png,cuse2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
cuse2_Int-Metal.png,cuse2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
cuse2_Vacancy-Anion-03.png,cuse2,test,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
cuse2_Vacancy-Metal.png,cuse2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
feo2_Defect-Free.png,feo2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
feo2_Int-Anion.png,feo2,val,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
feo2_Int-Metal.png,feo2,test,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
feo2_Vacancy-Anion-03.png,feo2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
feo2_Vacancy-Metal.png,feo2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
fes2_Co_adatom.png,fes2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
fes2_Co_doped.png,fes2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
fes2_Defect-Free.png,fes2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
fes2_Fe_adatom.png,fes2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
fes2_Ni_adatom.png,fes2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
fes2_Ni_doped.png,fes2,val,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
fes2_Vacancy-Anion-03.png,fes2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
fes2_Vacancy-Anion-06A.png,fes2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
fes2_Vacancy-Anion-06B.png,fes2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
fes2_Vacancy-Anion-09A.png,fes2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
fes2_Vacancy-Anion-09B.png,fes2,test,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
fes2_Vacancy-Metal.png,fes2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
ges2_Defect-Free.png,ges2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
ges2_Vacancy-Anion-03.png,ges2,val,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
ges2_Vacancy-Metal.png,ges2,test,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
gete2_Defect-Free.png,gete2,val,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
gete2_Vacancy-Anion-03.png,gete2,test,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
gete2_Vacancy-Metal.png,gete2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
hfo2_Anti-Anion.png,hfo2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
hfo2_Anti-Metal.png,hfo2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
hfo2_Defect-Free.png,hfo2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
hfo2_Int-Anion.png,hfo2,val,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
