h,w,n_structures
669,579,60
694,601,36
639,553,35
637,552,22
736,637,21
676,585,20
670,580,19
656,569,18
707,612,18
698,605,18
709,614,18
664,575,18
700,607,18
637,551,18
747,647,18
668,579,17
728,630,17
740,640,17
718,622,16
674,584,12
654,567,11
642,556,11
658,570,11
735,636,11
710,615,11
688,596,11
739,640,9
758,657,9
826,715,9
527,456,8
624,541,7
619,536,7
714,619,6
675,584,6
683,591,6
561,486,5
617,534,5
578,500,4
800,692,4
550,476,3
780,676,3
759,657,3
740,641,3
748,648,3
615,532,3
627,543,3
671,581,3
721,625,3
833,721,3
784,679,1
