family,level,psnr_med,ssim_med,kl_med,psnr_q25,ssim_q25,kl_q25,psnr_q75,ssim_q75,kl_q75,n
cose2,1,33.8227,0.9112,0.0049,31.2784,0.9047,0.0031,35.6308,0.9205,0.0076,33
cose2,2,31.5395,0.9088,0.0057,29.3944,0.8991,0.0046,33.3176,0.9163,0.0101,33
cose2,4,29.0515,0.9019,0.0081,26.825,0.8929,0.006,31.0577,0.9099,0.0152,33
cose2,8,24.7515,0.8726,0.0235,22.7899,0.8635,0.0134,25.733,0.8875,0.082,33
cose2,12,23.1064,0.8545,0.032,20.7909,0.8243,0.017,24.6344,0.8806,0.0976,33
cose2,16,21.8003,0.8407,0.0608,20.7774,0.8043,0.0262,23.5511,0.856,0.1072,33
cose2,20,21.6056,0.8264,0.0509,20.4847,0.8041,0.0334,24.3102,0.8561,0.1239,33
cose2,28,20.1328,0.7953,0.095,18.9365,0.7686,0.0628,22.4134,0.8453,0.2092,33
cose2,36,18.7524,0.7586,0.169,16.9667,0.6844,0.1064,21.4865,0.7904,0.3093,33
cro2,1,27.205,0.6404,0.0364,25.747,0.6192,0.0198,28.1853,0.6597,0.0544,24
cro2,2,25.9498,0.6356,0.0361,24.5555,0.6183,0.0145,27.8111,0.6611,0.0579,24
cro2,4,23.1287,0.6276,0.0435,22.1475,0.6067,0.0279,27.1062,0.6562,0.0575,24
cro2,8,21.4785,0.6085,0.0467,20.4652,0.6016,0.0307,23.8023,0.6544,0.0609,24
cro2,12,19.6734,0.597,0.0535,19.1431,0.5802,0.0301,24.9937,0.6436,0.0772,24
cro2,16,18.3809,0.5758,0.0831,17.0786,0.5518,0.0561,21.8283,0.6372,0.0986,24
cro2,20,17.6897,0.5738,0.0847,16.5543,0.5525,0.064,21.1781,0.6297,0.1011,24
cro2,28,18.0999,0.5867,0.1126,16.5805,0.5424,0.0717,22.8307,0.6353,0.137,24
cro2,36,15.3794,0.5275,0.1788,15.0249,0.505,0.1482,16.8083,0.5734,0.1954,24
crse2,1,29.687,0.7658,0.0146,28.2036,0.7522,0.0102,31.3591,0.8102,0.0192,33
crse2,2,29.4552,0.761,0.0142,26.4177,0.752,0.0113,30.3207,0.8071,0.0207,33
crse2,4,27.5022,0.7606,0.0171,24.4612,0.7375,0.0141,29.3409,0.8034,0.0213,33
crse2,8,23.6963,0.7463,0.0251,20.8652,0.7085,0.0199,25.7967,0.7804,0.0457,33
crse2,12,23.0288,0.7376,0.0379,19.7703,0.6972,0.0234,24.2062,0.7603,0.0623,33
crse2,16,20.5217,0.7339,0.0626,18.74,0.676,0.0363,23.3342,0.7579,0.0805,33
crse2,20,20.9496,0.7238,0.066,18.2987,0.683,0.0494,22.6025,0.7496,0.0932,33
crse2,28,18.8219,0.6925,0.1119,16.242,0.6312,0.0527,20.349,0.7535,0.1315,33
crse2,36,18.3598,0.6705,0.1418,15.8036,0.6255,0.0918,20.1034,0.7023,0.1741,33
crte2,1,31.9634,0.861,0.006,31.1553,0.8375,0.0034,33.3845,0.8769,0.0084,33
crte2,2,30.7731,0.8592,0.0068,28.6731,0.8344,0.0046,32.4797,0.8747,0.0087,33
crte2,4,28.6661,0.8574,0.0083,26.9582,0.8286,0.006,30.9517,0.8712,0.0106,33
crte2,8,25.1235,0.8363,0.0199,22.3688,0.8026,0.0128,26.905,0.8549,0.0436,33
crte2,12,23.787,0.8294,0.0325,21.762,0.796,0.0171,27.8742,0.8562,0.0687,33
crte2,16,21.5398,0.804,0.0605,19.4828,0.7698,0.0272,23.4531,0.8283,0.1126,33
crte2,20,21.106,0.7939,0.0696,19.3575,0.7564,0.0384,23.6447,0.82,0.1165,33
crte2,28,19.6703,0.7675,0.1033,17.8089,0.7196,0.0729,22.8072,0.7898,0.1495,33
crte2,36,18.153,0.7381,0.129,16.8886,0.6996,0.0854,20.4798,0.7793,0.1777,33
cus2,1,31.7295,0.7569,0.0282,30.0614,0.7179,0.0146,33.2373,0.823,0.0404,18
cus2,2,30.4405,0.7508,0.0255,28.1893,0.7174,0.0144,31.5799,0.8217,0.0457,18
cus2,4,28.1395,0.7488,0.0297,25.5856,0.709,0.0169,30.0491,0.8103,0.0426,18
cus2,8,25.5272,0.7195,0.0362,23.5342,0.6925,0.0197,28.7159,0.7944,0.0567,18
cus2,12,24.0089,0.7296,0.0431,22.4585,0.6911,0.0293,28.9753,0.7834,0.0624,18
cus2,16,23.1356,0.7217,0.0421,21.0423,0.6747,0.0325,26.3861,0.7646,0.0867,18
cus2,20,22.6686,0.7179,0.0751,20.3623,0.66,0.0385,24.8677,0.751,0.1017,18
cus2,28,20.5238,0.6564,0.1085,18.6036,0.614,0.0771,22.3463,0.7086,0.2021,18
cus2,36,19.6291,0.675,0.1401,18.5728,0.6175,0.1003,22.6922,0.7146,0.1543,18
cuse2,1,31.4593,0.807,0.0121,30.063,0.7805,0.0083,33.5411,0.8346,0.0136,18
cuse2,2,29.971,0.8071,0.0147,29.1614,0.7671,0.0097,31.1233,0.8309,0.0164,18
cuse2,4,27.977,0.7964,0.0156,26.0765,0.773,0.0117,29.7583,0.8257,0.0209,18
cuse2,8,25.6858,0.782,0.0203,24.0669,0.7506,0.0161,27.1865,0.8189,0.0271,18
cuse2,12,22.3699,0.7576,0.0355,20.2998,0.7311,0.025,24.7843,0.7824,0.0678,18
cuse2,16,21.4635,0.7674,0.0548,20.7587,0.7306,0.0334,25.2598,0.7867,0.0848,18
cuse2,20,20.7739,0.7396,0.0652,18.1189,0.7009,0.0355,23.1219,0.762,0.099,18
cuse2,28,19.0564,0.7029,0.094,16.7937,0.654,0.0649,21.6325,0.7481,0.1096,18
cuse2,36,17.8681,0.672,0.1187,15.6679,0.638,0.091,20.5627,0.7113,0.2144,18
feo2,1,28.6601,0.6816,0.0255,28.5457,0.6694,0.0143,29.0734,0.6998,0.0344,15
feo2,2,26.2012,0.6776,0.0238,25.3582,0.6647,0.015,28.2393,0.6974,0.0417,15
feo2,4,24.1876,0.6672,0.0431,23.2415,0.662,0.0202,25.577,0.6753,0.061,15
feo2,8,23.2588,0.6648,0.0444,22.44,0.6445,0.027,28.1318,0.699,0.0554,15
feo2,12,23.6127,0.6565,0.0403,20.4913,0.635,0.0247,28.4777,0.6912,0.0562,15
feo2,16,20.0638,0.6246,0.0718,18.1939,0.6115,0.0415,22.2517,0.6615,0.1114,15
feo2,20,18.9301,0.6097,0.0826,18.3234,0.5984,0.062,21.4073,0.6342,0.165,15
