split,level,psnr_med,ssim_med,kl_med,psnr_q25,ssim_q25,kl_q25,psnr_q75,ssim_q75,kl_q75,n
test,1,31.6421,0.8709,0.0075,29.3077,0.7986,0.0041,34.6625,0.9086,0.0171,228
test,2,29.5969,0.8641,0.0092,27.6828,0.7916,0.0052,32.0208,0.9021,0.0196,228
test,4,27.2755,0.8571,0.0155,25.1558,0.7838,0.0083,29.6734,0.8948,0.0278,228
test,8,24.8935,0.8377,0.0195,22.6593,0.7711,0.0109,28.4824,0.8868,0.0474,228
test,12,22.8661,0.8191,0.0376,20.935,0.7486,0.0193,25.8001,0.859,0.0767,228
test,16,21.719,0.7979,0.0466,19.5859,0.7357,0.0244,24.2346,0.8481,0.1001,228
test,20,20.3025,0.7694,0.0689,18.2663,0.7085,0.0402,22.747,0.8362,0.1372,228
test,28,19.1553,0.7377,0.1026,17.1363,0.6687,0.0619,21.6531,0.8046,0.1995,228
test,36,18.1932,0.7079,0.1342,16.4735,0.6269,0.0892,20.2162,0.7758,0.2554,228
train,1,32.2612,0.8882,0.0063,29.8445,0.8163,0.0037,34.9296,0.917,0.0148,1397
train,2,30.2968,0.8847,0.0081,28.0877,0.811,0.0046,32.5041,0.9128,0.0177,1397
train,4,27.6951,0.8722,0.0119,25.3373,0.7992,0.0069,30.3206,0.905,0.0263,1397
train,8,24.8848,0.8513,0.0208,22.8211,0.7823,0.0109,27.0537,0.8889,0.0453,1397
train,12,23.1326,0.8289,0.0358,21.1174,0.7628,0.0186,25.231,0.8693,0.0722,1397
train,16,21.7163,0.8119,0.0499,19.9834,0.745,0.0276,23.9585,0.8514,0.0984,1397
train,20,20.8784,0.7938,0.0654,19.207,0.7271,0.0362,23.2702,0.8358,0.1241,1397
train,28,19.3955,0.7613,0.1006,17.7423,0.6863,0.064,21.6148,0.8059,0.1737,1396
train,36,18.5812,0.7355,0.1303,16.9235,0.655,0.0881,21.0611,0.7859,0.2123,1396
val,1,32.1219,0.8766,0.0065,29.7678,0.8022,0.0034,34.7445,0.9153,0.0153,228
val,2,29.8278,0.8699,0.0089,27.7022,0.8001,0.0041,32.0386,0.9092,0.0191,228
val,4,27.6858,0.8618,0.0129,24.8143,0.7899,0.0067,29.8317,0.9029,0.0287,228
val,8,24.9601,0.842,0.0199,22.6078,0.7774,0.0105,26.9718,0.8825,0.0458,228
val,12,23.3594,0.8236,0.0358,21.6086,0.7537,0.0187,25.2562,0.8653,0.072,228
val,16,21.8991,0.7962,0.0527,19.9161,0.7334,0.0293,24.3731,0.8503,0.1018,228
val,20,20.732,0.7842,0.0694,19.1838,0.7191,0.0401,22.4285,0.8305,0.1235,228
val,28,19.4173,0.7475,0.1032,17.639,0.6849,0.0669,21.0557,0.7997,0.1625,228
val,36,18.2164,0.7172,0.1411,16.4821,0.6527,0.0908,20.4776,0.7756,0.2051,228
