model,structure,level,y,x,cls,n_true_cols,frac_damaged,pred_val,tgt_val
nafnet_base100k,vo2_Vacancy-Anion-03.png,1,136.0,0.0,boundary_edge,100,0.8208365164247517,0.7557653188705444,0.10588235408067703
nafnet_base100k,vo2_Vacancy-Anion-03.png,1,411.0,0.0,boundary_edge,100,0.8208365164247517,0.7607686519622803,0.1411764770746231
nafnet_base100k,vo2_Vacancy-Anion-03.png,1,171.0,257.0,boundary_edge,100,0.8208365164247517,0.5033659338951111,0.529411792755127
nafnet_base100k,vo2_Vacancy-Anion-03.png,1,379.0,257.0,boundary_edge,100,0.8208365164247517,0.5052764415740967,0.5137255191802979
nafnet_base100k,vo2_Vacancy-Anion-03.png,1,481.0,79.0,boundary_edge,100,0.8208365164247517,0.5053508877754211,0.5215686559677124
nafnet_base100k,vo2_Vacancy-Anion-03.png,1,378.0,139.0,boundary_edge,100,0.8208365164247517,0.5032209753990173,0.47058823704719543
nafnet_base100k,mos2-A_Adatom-Li.png,1,8.0,7.0,boundary_edge,84,0.1745861950889585,1.0,0.0235294122248888
nafnet_base100k,mose2-A_Doped-Na.png,1,0.0,477.0,boundary_edge,105,0.006990570979570456,0.4185401201248169,0.0117647061124444
nafnet_base100k,mose2-A_Doped-Na.png,1,24.0,520.0,invented_undamaged,105,0.006990570979570456,0.23975226283073425,0.0235294122248888
nafnet_base100k,mose2-A_Doped-Na.png,1,8.0,7.0,boundary_edge,105,0.006990570979570456,1.0,0.003921568859368563
nafnet_base100k,mote2-A_Anti-2M.png,1,0.0,257.0,boundary_edge,189,0.2322716616543134,0.5405943989753723,0.06666667014360428
nafnet_base100k,mote2-A_Anti-2M.png,1,0.0,560.0,boundary_edge,189,0.2322716616543134,0.5285835862159729,0.05882352963089943
nafnet_base100k,mote2-A_Anti-2M.png,1,0.0,81.0,boundary_edge,189,0.2322716616543134,0.5028208494186401,0.08235294371843338
nafnet_base100k,mote2-A_Anti-2M.png,1,0.0,383.0,boundary_edge,189,0.2322716616543134,0.5022757053375244,0.0784313753247261
nafnet_base100k,mote2-A_Anti-2M.png,1,6.0,604.0,boundary_edge,189,0.2322716616543134,0.43895867466926575,0.5215686559677124
nafnet_base100k,tate2-A_Fe_doped.png,1,0.0,597.0,boundary_edge,122,0.006934121621621622,0.5198737382888794,0.054901961237192154
nafnet_base100k,tate2-A_Fe_doped.png,1,0.0,504.0,boundary_edge,122,0.006934121621621622,0.5120305418968201,0.062745101749897
nafnet_base100k,tate2-A_Fe_doped.png,1,0.0,184.0,boundary_edge,122,0.006934121621621622,0.5126856565475464,0.054901961237192154
nafnet_base100k,tate2-A_Fe_doped.png,1,0.0,277.0,boundary_edge,122,0.006934121621621622,0.5048425197601318,0.05882352963089943
nafnet_base100k,tate2-A_Fe_doped.png,1,8.0,7.0,boundary_edge,122,0.006934121621621622,1.0,0.0470588244497776
nafnet_base100k,vse2-A_Vacancy-Anion-06A.png,1,8.0,7.0,boundary_edge,84,0.04060658162751613,1.0,0.1411764770746231
nafnet_base100k,tas2-A_Doped-Li.png,1,0.0,86.0,boundary_edge,68,0.06500783897233602,0.7643181085586548,0.03529411926865578
nafnet_base100k,tas2-A_Doped-Li.png,1,0.0,380.0,boundary_edge,68,0.06500783897233602,0.6397683620452881,0.0313725508749485
nafnet_base100k,tas2-A_Doped-Li.png,1,8.0,7.0,boundary_edge,68,0.06500783897233602,1.0,0.0313725508749485
nafnet_base100k,tase2-A_Vacancy-Anion-12B.png,1,0.0,91.0,boundary_edge,121,0.015205930807248764,0.385118305683136,0.027450980618596077
nafnet_base100k,tase2-A_Vacancy-Anion-12B.png,1,0.0,396.0,boundary_edge,121,0.015205930807248764,0.3467172384262085,0.0235294122248888
nafnet_base100k,tase2-A_Vacancy-Anion-12B.png,1,0.0,175.0,boundary_edge,121,0.015205930807248764,0.3524145781993866,0.0235294122248888
nafnet_base100k,tase2-A_Vacancy-Anion-12B.png,1,0.0,479.0,boundary_edge,121,0.015205930807248764,0.25245434045791626,0.027450980618596077
nafnet_base100k,tase2-A_Vacancy-Anion-12B.png,1,8.0,7.0,boundary_edge,121,0.015205930807248764,1.0,0.027450980618596077
nafnet_base100k,nbs2_Anti-Metal.png,1,49.0,291.0,invented_undamaged,106,0.046149358075750414,0.39791160821914673,0.0235294122248888
nafnet_base100k,nbs2_Anti-Metal.png,1,668.0,196.0,boundary_edge,106,0.046149358075750414,0.37806397676467896,0.01568627543747425
nafnet_base100k,nbs2_Anti-Metal.png,1,406.0,0.0,boundary_edge,106,0.046149358075750414,0.31508612632751465,0.1568627506494522
nafnet_base100k,nbs2_Anti-Metal.png,1,668.0,49.0,boundary_edge,106,0.046149358075750414,0.2763555645942688,0.01568627543747425
