model,structure,level,y,x,cls,n_true_cols,frac_damaged,pred_val,tgt_val
gated_t0.5_d2,vo2_Vacancy-Anion-03.png,1,379.0,258.0,boundary_edge,100,0.8208365164247517,0.5023812651634216,0.4588235318660736
gated_t0.5_d2,vo2_Vacancy-Anion-03.png,1,171.0,257.0,boundary_edge,100,0.8208365164247517,0.5020426511764526,0.529411792755127
gated_t0.5_d2,vo2_Vacancy-Anion-03.png,1,137.0,80.0,boundary_edge,100,0.8208365164247517,0.4888392686843872,0.47843137383461
gated_t0.5_d2,vo2_Vacancy-Anion-03.png,1,378.0,140.0,boundary_edge,100,0.8208365164247517,0.5027321577072144,0.5215686559677124
gated_t0.5_d2,vo2_Vacancy-Anion-03.png,1,413.0,80.0,boundary_edge,100,0.8208365164247517,0.48505523800849915,0.4941176474094391
gated_t0.5_d2,vo2_Vacancy-Anion-03.png,1,103.0,139.0,invented_damaged,100,0.8208365164247517,0.49881231784820557,0.5372549295425415
gated_t0.5_d2,vo2_Vacancy-Anion-03.png,1,206.0,79.0,invented_damaged,100,0.8208365164247517,0.5014719367027283,0.5411764979362488
gated_t0.5_d2,vo2_Vacancy-Anion-03.png,1,481.0,79.0,boundary_edge,100,0.8208365164247517,0.5000576972961426,0.5215686559677124
gated_t0.5_d2,vo2_Vacancy-Anion-03.png,1,309.0,139.0,boundary_edge,100,0.8208365164247517,0.5051314830780029,0.47058823704719543
gated_t0.5_d2,vo2_Vacancy-Anion-03.png,1,516.0,139.0,boundary_edge,100,0.8208365164247517,0.50590980052948,0.49803921580314636
gated_t0.5_d2,vo2_Vacancy-Anion-03.png,1,378.0,377.0,boundary_edge,100,0.8208365164247517,0.5053508877754211,0.5176470875740051
gated_t0.5_d2,vo2_Vacancy-Anion-03.png,1,446.0,139.0,invented_damaged,100,0.8208365164247517,0.49653005599975586,0.49803921580314636
gated_t0.5_d2,vo2_Vacancy-Anion-03.png,1,104.0,377.0,boundary_edge,100,0.8208365164247517,0.4993215799331665,0.48627451062202454
gated_t0.5_d2,vo2_Vacancy-Anion-03.png,1,172.0,377.0,boundary_edge,100,0.8208365164247517,0.5003476142883301,0.45098039507865906
gated_t0.5_d2,vo2_Vacancy-Anion-03.png,1,344.0,80.0,boundary_edge,100,0.8208365164247517,0.5003828406333923,0.40784314274787903
gated_t0.5_d2,vo2_Vacancy-Anion-03.png,1,69.0,317.0,boundary_edge,100,0.8208365164247517,0.49479997158050537,0.5411764979362488
gated_t0.5_d2,vo2_Vacancy-Anion-03.png,1,344.0,317.0,boundary_edge,100,0.8208365164247517,0.4931604266166687,0.4431372582912445
gated_t0.5_d2,vo2_Vacancy-Anion-03.png,1,34.0,139.0,boundary_edge,100,0.8208365164247517,0.5011476278305054,0.48627451062202454
gated_t0.5_d2,vo2_Vacancy-Anion-03.png,1,241.0,20.0,boundary_edge,100,0.8208365164247517,0.49552279710769653,0.5098039507865906
gated_t0.5_d2,vo2_Vacancy-Anion-03.png,1,308.0,20.0,boundary_edge,100,0.8208365164247517,0.49594414234161377,0.5333333611488342
gated_t0.5_d2,vo2_Vacancy-Anion-03.png,1,482.0,317.0,boundary_edge,100,0.8208365164247517,0.4979288876056671,0.4274509847164154
gated_t0.5_d2,vo2_Vacancy-Anion-03.png,1,172.0,140.0,boundary_edge,100,0.8208365164247517,0.49331843852996826,0.49803921580314636
gated_t0.5_d2,vo2_Vacancy-Anion-03.png,1,241.0,139.0,boundary_edge,100,0.8208365164247517,0.5015751123428345,0.5254902243614197
gated_t0.5_d2,vo2_Vacancy-Anion-03.png,1,138.0,318.0,boundary_edge,100,0.8208365164247517,0.4948136806488037,0.5647059082984924
gated_t0.5_d2,mos2-A_Adatom-Li.png,1,8.0,7.0,boundary_edge,84,0.1745861950889585,1.0,0.0235294122248888
gated_t0.5_d2,mose2-A_Doped-Na.png,1,8.0,7.0,boundary_edge,105,0.006990570979570456,1.0,0.003921568859368563
gated_t0.5_d2,vse2-A_Vacancy-Anion-06A.png,1,125.0,578.0,boundary_edge,84,0.04060658162751613,0.2063179910182953,0.1725490242242813
