model,structure,level,y,x,cls,n_true_cols,frac_damaged,pred_val,tgt_val
gated_t0.9_d2_s400,vo2_Vacancy-Anion-03.png,1,379.0,258.0,boundary_edge,100,0.8208365164247517,0.5023812651634216,0.4588235318660736
gated_t0.9_d2_s400,vo2_Vacancy-Anion-03.png,1,171.0,257.0,boundary_edge,100,0.8208365164247517,0.5020426511764526,0.529411792755127
gated_t0.9_d2_s400,vo2_Vacancy-Anion-03.png,1,137.0,80.0,boundary_edge,100,0.8208365164247517,0.4888392686843872,0.47843137383461
gated_t0.9_d2_s400,vo2_Vacancy-Anion-03.png,1,378.0,139.0,boundary_edge,100,0.8208365164247517,0.5025593638420105,0.47058823704719543
gated_t0.9_d2_s400,vo2_Vacancy-Anion-03.png,1,413.0,80.0,boundary_edge,100,0.8208365164247517,0.48505523800849915,0.4941176474094391
gated_t0.9_d2_s400,vo2_Vacancy-Anion-03.png,1,103.0,139.0,invented_damaged,100,0.8208365164247517,0.49881231784820557,0.5372549295425415
gated_t0.9_d2_s400,vo2_Vacancy-Anion-03.png,1,206.0,79.0,invented_damaged,100,0.8208365164247517,0.5014719367027283,0.5411764979362488
gated_t0.9_d2_s400,vo2_Vacancy-Anion-03.png,1,481.0,79.0,boundary_edge,100,0.8208365164247517,0.5000576972961426,0.5215686559677124
gated_t0.9_d2_s400,vo2_Vacancy-Anion-03.png,1,309.0,139.0,boundary_edge,100,0.8208365164247517,0.5051314830780029,0.47058823704719543
gated_t0.9_d2_s400,vo2_Vacancy-Anion-03.png,1,516.0,139.0,boundary_edge,100,0.8208365164247517,0.50590980052948,0.49803921580314636
gated_t0.9_d2_s400,vo2_Vacancy-Anion-03.png,1,378.0,377.0,boundary_edge,100,0.8208365164247517,0.5053508877754211,0.5176470875740051
gated_t0.9_d2_s400,vo2_Vacancy-Anion-03.png,1,446.0,139.0,invented_damaged,100,0.8208365164247517,0.49653005599975586,0.49803921580314636
gated_t0.9_d2_s400,vo2_Vacancy-Anion-03.png,1,104.0,377.0,boundary_edge,100,0.8208365164247517,0.4993215799331665,0.48627451062202454
gated_t0.9_d2_s400,vo2_Vacancy-Anion-03.png,1,172.0,377.0,boundary_edge,100,0.8208365164247517,0.5003476142883301,0.45098039507865906
gated_t0.9_d2_s400,vo2_Vacancy-Anion-03.png,1,344.0,80.0,boundary_edge,100,0.8208365164247517,0.5003828406333923,0.40784314274787903
gated_t0.9_d2_s400,vo2_Vacancy-Anion-03.png,1,69.0,317.0,boundary_edge,100,0.8208365164247517,0.49479997158050537,0.5411764979362488
gated_t0.9_d2_s400,vo2_Vacancy-Anion-03.png,1,344.0,317.0,boundary_edge,100,0.8208365164247517,0.4931604266166687,0.4431372582912445
gated_t0.9_d2_s400,vo2_Vacancy-Anion-03.png,1,34.0,139.0,boundary_edge,100,0.8208365164247517,0.5011476278305054,0.48627451062202454
gated_t0.9_d2_s400,vo2_Vacancy-Anion-03.png,1,308.0,20.0,boundary_edge,100,0.8208365164247517,0.49594414234161377,0.5333333611488342
gated_t0.9_d2_s400,vo2_Vacancy-Anion-03.png,1,241.0,20.0,boundary_edge,100,0.8208365164247517,0.49552279710769653,0.5098039507865906
gated_t0.9_d2_s400,vo2_Vacancy-Anion-03.png,1,482.0,317.0,boundary_edge,100,0.8208365164247517,0.4979288876056671,0.4274509847164154
gated_t0.9_d2_s400,vo2_Vacancy-Anion-03.png,1,172.0,140.0,boundary_edge,100,0.8208365164247517,0.49331843852996826,0.49803921580314636
gated_t0.9_d2_s400,vo2_Vacancy-Anion-03.png,1,241.0,139.0,boundary_edge,100,0.8208365164247517,0.5015751123428345,0.5254902243614197
gated_t0.9_d2_s400,vo2_Vacancy-Anion-03.png,1,138.0,318.0,boundary_edge,100,0.8208365164247517,0.4948136806488037,0.5647059082984924
gated_t0.9_d2_s400,vse2-A_Vacancy-Anion-06A.png,1,628.0,217.0,borderline_shifted,84,0.04060658162751613,0.23137255012989044,0.21176470816135406
gated_t0.9_d2_s400,tas2-A_Doped-Li.png,1,0.0,90.0,boundary_edge,68,0.06500783897233602,0.7059648036956787,0.03529411926865578
gated_t0.9_d2_s400,tas2-A_Doped-Li.png,1,18.0,97.0,invented_undamaged,68,0.06500783897233602,0.2561647295951843,0.04313725605607033
gated_t0.9_d2_s400,nbte2_Vacancy-Anion-12A.png,1,96.0,445.0,invented_undamaged,170,0.054897087039944184,0.6094985008239746,0.06666667014360428
gated_t0.9_d2_s400,nbte2_Vacancy-Anion-12A.png,1,673.0,314.0,invented_undamaged,170,0.054897087039944184,0.5904197692871094,0.062745101749897
gated_t0.9_d2_s400,nbte2_Vacancy-Anion-12A.png,1,96.0,131.0,invented_undamaged,170,0.054897087039944184,0.5811024904251099,0.06666667014360428
gated_t0.9_d2_s400,nbte2_Vacancy-Anion-12A.png,1,720.0,392.0,boundary_edge,170,0.054897087039944184,0.6104435920715332,0.03529411926865578
gated_t0.9_d2_s400,nbte2_Vacancy-Anion-12A.png,1,716.0,496.0,boundary_edge,170,0.054897087039944184,0.43764835596084595,0.0313725508749485
gated_t0.9_d2_s400,nbte2_Vacancy-Anion-12A.png,1,727.0,453.0,boundary_edge,170,0.054897087039944184,0.019607843831181526,0.019607843831181526
gated_t0.9_d2_s400,nbte2_Vacancy-Anion-12A.png,1,713.0,425.0,boundary_edge,170,0.054897087039944184,0.2871305048465729,0.0235294122248888
gated_t0.9_d2_s400,nbte2_Vacancy-Anion-12A.png,1,711.0,463.0,invented_undamaged,170,0.054897087039944184,0.2464972734451294,0.01568627543747425
gated_t0.9_d2_s400,nbte2_Vacancy-Anion-12A.png,1,671.0,296.0,borderline_shifted,170,0.054897087039944184,0.31338605284690857,0.07058823853731155
gated_t0.9_d2_s400,nbte2_Vacancy-Anion-12A.png,1,656.0,303.0,borderline_shifted,170,0.054897087039944184,0.28351590037345886,0.07058823853731155
gated_t0.9_d2_s400,vs2_Vacancy-Anion-06A.png,1,304.0,417.0,borderline_shifted,158,0.5798871994272244,0.7952746152877808,0.7647058963775635
gated_t0.9_d2_s400,vs2_Vacancy-Anion-06A.png,1,142.0,176.0,borderline_shifted,158,0.5798871994272244,0.2828783392906189,0.30588236451148987
gated_t0.9_d2_s400,vs2_Vacancy-Anion-06A.png,1,367.0,448.0,boundary_edge,158,0.5798871994272244,0.5403028726577759,0.5607843399047852
gated_t0.9_d2_s400,vs2_Vacancy-Anion-06A.png,1,138.0,167.0,borderline_shifted,158,0.5798871994272244,0.287081241607666,0.2666666805744171
gated_t0.9_d2_s400,vs2_Vacancy-Anion-06A.png,1,404.0,507.0,boundary_edge,158,0.5798871994272244,0.4105374217033386,0.4274509847164154
gated_t0.9_d2_s400,cose2_Fe_doped.png,1,553.0,62.0,borderline_shifted,96,0.03038748424860778,0.1809765100479126,0.04313725605607033
gated_t0.9_d2_s400,cro2_Vacancy-Anion-03.png,1,370.0,66.0,borderline_shifted,80,0.6890084556742901,0.44420406222343445,0.239215686917305
gated_t0.9_d2_s400,cro2_Vacancy-Anion-03.png,1,385.0,57.0,borderline_shifted,80,0.6890084556742901,0.39699283242225647,0.1764705926179886
gated_t0.9_d2_s400,cro2_Vacancy-Anion-03.png,1,366.0,295.0,borderline_shifted,80,0.6890084556742901,0.42537921667099,0.27450981736183167
gated_t0.9_d2_s400,cro2_Vacancy-Anion-03.png,1,388.0,280.0,borderline_shifted,80,0.6890084556742901,0.43173736333847046,0.30980393290519714
gated_t0.9_d2_s400,cro2_Vacancy-Anion-03.png,1,153.0,417.0,borderline_shifted,80,0.6890084556742901,0.4414464831352234,0.19607843458652496
gated_t0.9_d2_s400,cro2_Vacancy-Anion-03.png,1,370.0,73.0,borderline_shifted,80,0.6890084556742901,0.39768344163894653,0.1764705926179886
gated_t0.9_d2_s400,cro2_Vacancy-Anion-03.png,1,385.0,81.0,borderline_shifted,80,0.6890084556742901,0.4201412498950958,0.29019609093666077
gated_t0.9_d2_s400,cro2_Vacancy-Anion-03.png,1,379.0,54.0,borderline_shifted,80,0.6890084556742901,0.37355583906173706,0.2078431397676468
gated_t0.9_d2_s400,cro2_Vacancy-Anion-03.png,1,160.0,193.0,borderline_shifted,80,0.6890084556742901,0.39543166756629944,0.239215686917305
gated_t0.9_d2_s400,cro2_Vacancy-Anion-03.png,1,162.0,426.0,borderline_shifted,80,0.6890084556742901,0.4127714931964874,0.21176470816135406
gated_t0.9_d2_s400,cro2_Vacancy-Anion-03.png,1,143.0,428.0,borderline_shifted,80,0.6890084556742901,0.4040091633796692,0.23529411852359772
gated_t0.9_d2_s400,cro2_Vacancy-Anion-03.png,1,143.0,419.0,borderline_shifted,80,0.6890084556742901,0.4195268452167511,0.23137255012989044
gated_t0.9_d2_s400,cro2_Vacancy-Anion-03.png,1,392.0,304.0,borderline_shifted,80,0.6890084556742901,0.4002724289894104,0.2549019753932953
gated_t0.9_d2_s400,cro2_Vacancy-Anion-03.png,1,155.0,201.0,borderline_shifted,80,0.6890084556742901,0.3679644465446472,0.2235294133424759
gated_t0.9_d2_s400,vo2_Vacancy-Anion-03.png,2,287.0,240.0,borderline_shifted,100,0.8481016042780749,0.6036007404327393,0.21568627655506134
gated_t0.9_d2_s400,vo2_Vacancy-Anion-03.png,2,275.0,223.0,borderline_shifted,100,0.8481016042780749,0.5220698118209839,0.20392157137393951
gated_t0.9_d2_s400,vo2_Vacancy-Anion-03.png,2,284.0,252.0,borderline_shifted,100,0.8481016042780749,0.511215329170227,0.16078431904315948
gated_t0.9_d2_s400,vo2_Vacancy-Anion-03.png,2,281.0,256.0,borderline_shifted,100,0.8481016042780749,0.4316672682762146,0.1568627506494522
gated_t0.9_d2_s400,vo2_Vacancy-Anion-03.png,2,172.0,258.0,boundary_edge,100,0.8481016042780749,0.4832040071487427,0.5215686559677124
gated_t0.9_d2_s400,vo2_Vacancy-Anion-03.png,2,378.0,140.0,boundary_edge,100,0.8481016042780749,0.4847688376903534,0.5215686559677124
gated_t0.9_d2_s400,vo2_Vacancy-Anion-03.png,2,138.0,80.0,boundary_edge,100,0.8481016042780749,0.4677014946937561,0.48627451062202454
gated_t0.9_d2_s400,vo2_Vacancy-Anion-03.png,2,69.0,318.0,invented_damaged,100,0.8481016042780749,0.4787461459636688,0.5176470875740051
gated_t0.9_d2_s400,vo2_Vacancy-Anion-03.png,2,103.0,140.0,boundary_edge,100,0.8481016042780749,0.4869707226753235,0.45490196347236633
gated_t0.9_d2_s400,vo2_Vacancy-Anion-03.png,2,378.0,257.0,invented_damaged,100,0.8481016042780749,0.4773550033569336,0.4745098054409027
gated_t0.9_d2_s400,vo2_Vacancy-Anion-03.png,2,412.0,80.0,boundary_edge,100,0.8481016042780749,0.46512195467948914,0.5176470875740051
gated_t0.9_d2_s400,vo2_Vacancy-Anion-03.png,2,103.0,377.0,invented_damaged,100,0.8481016042780749,0.4861108660697937,0.5176470875740051
gated_t0.9_d2_s400,vo2_Vacancy-Anion-03.png,2,241.0,139.0,boundary_edge,100,0.8481016042780749,0.48455482721328735,0.5254902243614197
gated_t0.9_d2_s400,vo2_Vacancy-Anion-03.png,2,481.0,79.0,boundary_edge,100,0.8481016042780749,0.48218804597854614,0.5215686559677124
gated_t0.9_d2_s400,vo2_Vacancy-Anion-03.png,2,206.0,80.0,boundary_edge,100,0.8481016042780749,0.48234665393829346,0.4588235318660736
gated_t0.9_d2_s400,vo2_Vacancy-Anion-03.png,2,206.0,317.0,boundary_edge,100,0.8481016042780749,0.48068487644195557,0.501960813999176
gated_t0.9_d2_s400,vo2_Vacancy-Anion-03.png,2,171.0,377.0,invented_damaged,100,0.8481016042780749,0.48277974128723145,0.49803921580314636
gated_t0.9_d2_s400,vo2_Vacancy-Anion-03.png,2,34.0,20.0,invented_damaged,100,0.8481016042780749,0.47531425952911377,0.46666666865348816
gated_t0.9_d2_s400,vo2_Vacancy-Anion-03.png,2,343.0,317.0,invented_damaged,100,0.8481016042780749,0.47523370385169983,0.46666666865348816
gated_t0.9_d2_s400,vo2_Vacancy-Anion-03.png,2,446.0,377.0,boundary_edge,100,0.8481016042780749,0.479963481426239,0.5254902243614197
gated_t0.9_d2_s400,vo2_Vacancy-Anion-03.png,2,516.0,139.0,boundary_edge,100,0.8481016042780749,0.4840739369392395,0.49803921580314636
