model,structure,level,y,x,cls,n_true_cols,frac_damaged,pred_val,tgt_val
restormer_100k,vo2_Vacancy-Anion-03.png,1,0.0,357.0,boundary_edge,100,0.8208365164247517,0.39082571864128113,0.11764705926179886
restormer_100k,vo2_Vacancy-Anion-03.png,1,171.0,257.0,boundary_edge,100,0.8208365164247517,0.5000576972961426,0.529411792755127
restormer_100k,vo2_Vacancy-Anion-03.png,1,379.0,257.0,boundary_edge,100,0.8208365164247517,0.49799829721450806,0.5137255191802979
restormer_100k,vo2_Vacancy-Anion-03.png,1,378.0,140.0,boundary_edge,100,0.8208365164247517,0.49611568450927734,0.5215686559677124
restormer_100k,vo2_Vacancy-Anion-03.png,1,481.0,79.0,boundary_edge,100,0.8208365164247517,0.49906522035598755,0.5215686559677124
restormer_100k,vo2_Vacancy-Anion-03.png,1,516.0,139.0,boundary_edge,100,0.8208365164247517,0.5039248466491699,0.49803921580314636
restormer_100k,vo2_Vacancy-Anion-03.png,1,310.0,139.0,boundary_edge,100,0.8208365164247517,0.5035256743431091,0.48627451062202454
restormer_100k,mno2_Defect-Free.png,1,248.0,0.0,boundary_edge,74,0.5485121107266436,0.6966878175735474,0.05882352963089943
restormer_100k,mos2-A_Adatom-Li.png,1,638.0,2.0,boundary_edge,84,0.1745861950889585,1.0,0.019607843831181526
restormer_100k,mos2-A_Adatom-Li.png,1,393.0,552.0,boundary_edge,84,0.1745861950889585,0.3318026065826416,0.07450980693101883
restormer_100k,mose2-A_Doped-Na.png,1,597.0,517.0,invented_undamaged,105,0.006990570979570456,0.24455031752586365,0.03529411926865578
restormer_100k,vse2-A_Vacancy-Anion-06A.png,1,628.0,217.0,borderline_shifted,84,0.04060658162751613,0.2192574143409729,0.21176470816135406
restormer_100k,nbte2_Vacancy-Anion-12A.png,1,96.0,130.0,invented_undamaged,170,0.054897087039944184,0.5938405394554138,0.06666667014360428
restormer_100k,nbte2_Vacancy-Anion-12A.png,1,188.0,603.0,invented_undamaged,170,0.054897087039944184,0.5630253553390503,0.07058823853731155
restormer_100k,nbte2_Vacancy-Anion-12A.png,1,727.0,424.0,boundary_edge,170,0.054897087039944184,0.17846962809562683,0.027450980618596077
restormer_100k,nbte2_Vacancy-Anion-12A.png,1,439.0,18.0,invented_undamaged,170,0.054897087039944184,0.2607942521572113,0.09019608050584793
restormer_100k,tise2_Adatom-Li.png,1,660.0,311.0,invented_undamaged,157,0.21837645949468895,0.37513893842697144,0.0470588244497776
restormer_100k,tise2_Adatom-Li.png,1,615.0,141.0,invented_undamaged,157,0.21837645949468895,0.24547553062438965,0.0470588244497776
restormer_100k,tise2_Adatom-Li.png,1,612.0,312.0,invented_undamaged,157,0.21837645949468895,0.32920581102371216,0.07450980693101883
restormer_100k,tise2_Adatom-Li.png,1,637.0,270.0,invented_undamaged,157,0.21837645949468895,0.18219277262687683,0.03921568766236305
restormer_100k,tite2-B_Cu_doped.png,1,605.0,646.0,boundary_edge,72,0.015100070555276231,0.15059304237365723,0.10980392247438431
restormer_100k,vs2_Vacancy-Anion-06A.png,1,638.0,2.0,boundary_edge,158,0.5798871994272244,1.0,0.03529411926865578
restormer_100k,vs2_Vacancy-Anion-06A.png,1,367.0,448.0,boundary_edge,158,0.5798871994272244,0.5277493000030518,0.5607843399047852
restormer_100k,ws2-A_Vacancy-Metal.png,1,344.0,498.0,invented_undamaged,59,0.008955588924533023,0.6321360468864441,0.03921568766236305
restormer_100k,ws2-A_Vacancy-Metal.png,1,23.0,252.0,borderline_shifted,59,0.008955588924533023,0.2120000422000885,0.1921568661928177
restormer_100k,cose2_Fe_doped.png,1,581.0,371.0,invented_undamaged,96,0.03038748424860778,0.1775326132774353,0.05882352963089943
restormer_100k,cro2_Vacancy-Anion-03.png,1,526.0,2.0,boundary_edge,80,0.6890084556742901,1.0,0.03529411926865578
restormer_100k,vo2_Vacancy-Anion-03.png,2,0.0,356.0,boundary_edge,100,0.8481016042780749,0.3505493104457855,0.10196078568696976
