structure,n_vacancy,n_anomalous,vacuum_frac
tas2-A_Defect-Free.png,0,0,0.11845951550093561
snte2_Defect-Free.png,0,1,0.09049933117729728
tise2_Defect-Free.png,0,4,0.046056706510987235
tas2-A_Vacancy-Anion-03.png,0,3,0.10406615081171294
snte2_Vacancy-Anion-03.png,2,16,0.06136744611320882
tis2_Vacancy-Anion-03.png,31,1,0.08918526091322856
vse2-B_Vacancy-Anion-06B.png,2,2,0.0475887802367473
tate2-B_Vacancy-Anion-06B.png,4,6,0.09578697699815712
vs2_Vacancy-Anion-06A.png,8,0,0.0
vse2-A_Vacancy-Anion-09B.png,10,0,0.0
tate2-B_Vacancy-Anion-09A.png,0,0,0.0
tase2-B_Vacancy-Anion-09A.png,28,0,0.0
tase2-A_Vacancy-Anion-12B.png,7,2,0.08606024947046363
tite2-B_Vacancy-Anion-12A.png,0,6,0.0
tase2-A_Vacancy-Anion-12A.png,2,13,0.09825606024947046
nbse2_Cu_adatom.png,39,0,0.0
nbte2_V_adatom.png,0,4,0.0
nbse2_V_adatom.png,26,1,0.04514090348938129
tis2_Adatom-Na.png,34,3,0.0
tis2_Adatom-K.png,29,6,0.0862292855833598
mote2-A_Adatom-Na.png,0,2,0.09647398707049658
nbte2_V_doped.png,0,17,0.07065454386882958
ws2-B_Re_doped.png,26,0,0.0884950970354697
crse2_Ti_doped.png,0,23,0.05954668721710629
mos2-A_Doped-Li.png,0,3,0.0751881188679192
tas2-B_Doped-Li.png,10,0,0.04223935548591935
tate2-A_Doped-Li.png,18,0,0.2627364864864865
tate2-B_Anti-Anion.png,0,6,0.07167172889222578
nbs2_Anti-Metal.png,12,5,0.046768951157993656
nbte2_Anti-Anion.png,1,6,0.08931623931623932
