thr,dil,ms,level,psnr,recall,psnr_dmg,def_pres,vac_ph,seg_p,seg_r,psnr_missed,edited
0.5,2,400,1,32.8731,1.0,29.683,0.9766,0.0044,0.1977,0.8557,29.3907,0.2951
0.5,2,400,2,31.941,1.0,29.7541,0.9791,0.0061,0.2189,0.8887,30.3002,0.3307
0.5,2,400,4,31.6542,1.0,28.4881,0.9695,0.0032,0.2598,0.9144,29.5644,0.3664
0.5,2,400,8,31.2931,0.9945,27.945,0.9703,0.0047,0.3099,0.955,29.1269,0.4314
0.5,2,400,12,30.4588,0.9898,26.8753,0.9615,0.0068,0.3692,0.9599,29.5802,0.4739
0.5,2,400,16,29.6524,0.9893,26.0052,0.9386,0.0085,0.4348,0.9669,29.4302,0.4952
0.5,2,400,20,28.862,0.9859,25.9908,0.9412,0.0069,0.4594,0.9716,29.3512,0.5386
0.5,2,400,28,27.1571,0.9739,23.6534,0.9135,0.008,0.539,0.9663,27.4854,0.5936
0.5,2,400,36,26.512,0.9698,23.1021,0.9013,0.0078,0.5735,0.976,27.522,0.5953
0.7,2,0,1,32.5266,1.0,28.4166,0.9813,0.0037,0.2687,0.724,26.5388,0.2002
0.7,2,0,2,31.7817,1.0,28.8132,0.9795,0.0053,0.282,0.7742,28.2323,0.2229
0.7,2,0,4,31.3397,1.0,27.6501,0.9705,0.003,0.3295,0.8194,27.6781,0.2512
0.7,2,0,8,30.9337,0.9944,27.3057,0.9698,0.0042,0.3879,0.8907,27.6195,0.3306
0.7,2,0,12,30.3311,0.9894,26.5526,0.9629,0.0066,0.4524,0.9057,28.5399,0.3549
0.7,2,0,16,29.4483,0.9885,25.8991,0.939,0.008,0.5051,0.9234,28.471,0.406
0.7,2,0,20,28.8395,0.9854,25.8043,0.9412,0.0066,0.5324,0.9287,28.6094,0.4196
0.7,2,0,28,27.12,0.9739,23.4642,0.9142,0.0079,0.6115,0.9269,26.6197,0.4621
0.7,2,0,36,26.364,0.9688,23.0945,0.902,0.0072,0.6534,0.9429,26.3716,0.4775
0.7,2,400,1,32.356,1.0,27.8997,0.9823,0.0035,0.2623,0.5249,26.7908,0.1622
0.7,2,400,2,31.744,1.0,28.6813,0.9799,0.0052,0.3024,0.675,28.5118,0.1879
0.7,2,400,4,31.3569,1.0,27.4448,0.9708,0.0029,0.344,0.7518,28.036,0.2195
0.7,2,400,8,30.7485,0.9946,27.2701,0.9698,0.0041,0.4142,0.8356,27.8481,0.2857
0.7,2,400,12,30.3255,0.9896,26.5151,0.9629,0.0066,0.4728,0.8716,28.5785,0.3194
0.7,2,400,16,29.4263,0.989,25.8799,0.9388,0.0079,0.5256,0.894,28.444,0.3582
0.7,2,400,20,28.773,0.9861,25.748,0.9414,0.0065,0.5611,0.9026,28.5694,0.3828
0.7,2,400,28,27.1433,0.9739,23.4148,0.9142,0.0079,0.6298,0.9087,26.7145,0.4184
0.7,2,400,36,26.3511,0.9706,23.0886,0.902,0.007,0.6746,0.9228,26.5523,0.4502
0.9,2,0,1,32.0211,1.0,26.8483,0.9847,0.0025,0.3767,0.132,25.3446,0.0515
0.9,2,0,2,31.3152,1.0,25.4297,0.9838,0.0027,0.4511,0.3248,22.6075,0.0609
0.9,2,0,4,30.4186,0.9974,24.7582,0.973,0.0022,0.5336,0.4344,23.0899,0.0885
0.9,2,0,8,30.1637,0.9946,25.1318,0.9666,0.0032,0.605,0.598,24.5061,0.1412
0.9,2,0,12,29.6477,0.9895,25.5647,0.9644,0.006,0.6457,0.6675,26.1452,0.1629
0.9,2,0,16,28.9703,0.9899,25.1203,0.9391,0.0064,0.7037,0.7096,26.1636,0.1888
0.9,2,0,20,28.2303,0.9875,24.826,0.9372,0.0058,0.7284,0.7531,25.9729,0.2211
0.9,2,0,28,26.7683,0.975,23.0388,0.9073,0.007,0.7742,0.7732,24.3796,0.255
0.9,2,0,36,25.8955,0.9697,22.4848,0.908,0.0055,0.7892,0.8023,24.1891,0.3061
0.9,2,400,1,32.0028,0.9974,26.3284,0.9847,0.0024,0.0494,0.0254,25.4465,0.0302
0.9,2,400,2,31.138,0.9949,25.0945,0.9877,0.0025,0.3798,0.1884,22.8363,0.0395
0.9,2,400,4,30.1882,0.9942,24.4809,0.9749,0.002,0.5038,0.3426,23.2412,0.0662
0.9,2,400,8,30.0396,0.9943,25.033,0.9677,0.0031,0.6356,0.531,24.699,0.1092
0.9,2,400,12,29.6109,0.9897,25.4417,0.9644,0.0058,0.6778,0.6302,26.1266,0.1341
0.9,2,400,16,28.8975,0.9895,24.9436,0.9389,0.0061,0.7273,0.672,26.2338,0.1662
0.9,2,400,20,28.1633,0.9875,24.7728,0.936,0.0057,0.7557,0.7185,25.9405,0.186
0.9,2,400,28,26.6678,0.9756,22.8795,0.9075,0.0068,0.8002,0.7373,24.6293,0.2328
0.9,2,400,36,25.876,0.9702,22.4541,0.9082,0.0054,0.8139,0.7763,24.3565,0.2696
0.95,2,400,1,32.0757,0.9945,25.99,0.9897,0.0014,0.0,0.0,25.2189,0.0061
0.95,2,400,2,30.7696,0.9917,22.8858,0.9885,0.0018,0.2309,0.0579,21.5326,0.0111
0.95,2,400,4,29.3036,0.9926,22.3043,0.9779,0.0015,0.5433,0.1653,21.4138,0.0274
0.95,2,400,8,28.9718,0.9908,23.1097,0.9686,0.0023,0.7306,0.3513,22.4615,0.0594
0.95,2,400,12,28.7833,0.9893,24.2263,0.9625,0.0053,0.7983,0.4695,24.3433,0.0914
0.95,2,400,16,28.4088,0.9886,23.4999,0.9399,0.0051,0.8174,0.5374,24.4284,0.1112
0.95,2,400,20,27.5213,0.9873,23.7735,0.9362,0.0048,0.8461,0.5899,24.081,0.1337
0.95,2,400,28,26.1628,0.9748,22.1104,0.901,0.0059,0.8618,0.6092,22.5999,0.1768
0.95,2,400,36,25.3844,0.9688,21.9112,0.8988,0.0047,0.8778,0.6644,22.2801,0.2194
