growth_thr,seed_min,level,psnr,recall,psnr_dmg,def_pres,vac_ph,seg_fp_def,psnr_missed,edited
0.5,100,1,32.6962,1.0,27.0475,0.9909,0.0011,0.1437,24.6837,0.0972
0.5,100,2,31.2959,0.9932,25.2493,0.9862,0.0013,0.164,21.3885,0.119
0.5,100,4,30.5309,0.9929,25.095,0.9814,0.0014,0.1833,22.9024,0.167
0.5,100,8,30.5106,0.9918,26.4913,0.9759,0.0021,0.2168,26.2536,0.2354
0.5,100,12,30.0916,0.9894,26.0508,0.97,0.0062,0.2495,26.9036,0.2851
0.5,100,16,29.3168,0.9885,25.6796,0.9439,0.0058,0.2294,26.6068,0.3156
0.5,100,20,28.705,0.9858,25.1978,0.9403,0.005,0.2304,26.6309,0.3502
0.5,100,28,26.9175,0.9748,23.3488,0.9148,0.0069,0.2284,24.444,0.3936
0.5,100,36,26.3652,0.9699,22.9701,0.9091,0.0064,0.2632,25.2623,0.4584
0.5,400,1,32.7861,1.0,26.642,0.9934,0.001,0.128,24.556,0.0405
0.5,400,2,31.3194,0.9925,25.1216,0.9885,0.0013,0.1502,21.2091,0.0725
0.5,400,4,30.5206,0.9931,25.0802,0.9814,0.0014,0.1682,22.9024,0.13
0.5,400,8,30.4445,0.9914,26.4917,0.9759,0.0021,0.2086,26.3734,0.1946
0.5,400,12,29.9631,0.9894,25.8571,0.9702,0.0062,0.237,26.765,0.2249
0.5,400,16,29.3073,0.9885,25.6758,0.9441,0.0058,0.2194,26.8533,0.2674
0.5,400,20,28.7605,0.9858,25.1956,0.9405,0.005,0.2268,26.9376,0.3024
0.5,400,28,26.9175,0.9747,23.3465,0.9148,0.0063,0.2233,24.444,0.3695
0.5,400,36,26.2913,0.9699,22.945,0.9091,0.0064,0.2607,25.2783,0.4154
0.5,800,1,32.7019,0.9948,26.5895,0.9934,0.0009,0.12,24.7883,0.0
0.5,800,2,31.2408,0.9916,24.7778,0.9885,0.0013,0.1438,20.9505,0.0329
0.5,800,4,30.4489,0.9922,25.0212,0.9816,0.0014,0.1549,21.9884,0.0793
0.5,800,8,30.2567,0.9898,26.4917,0.9754,0.0013,0.1976,26.2536,0.1454
0.5,800,12,29.995,0.9889,25.7409,0.9702,0.0062,0.2313,26.9264,0.1917
0.5,800,16,29.2472,0.9885,25.6546,0.9441,0.0058,0.2151,27.0621,0.2262
0.5,800,20,28.7206,0.9856,25.061,0.9404,0.005,0.222,26.948,0.2668
0.5,800,28,26.887,0.9747,23.3112,0.9148,0.0063,0.221,24.3352,0.3459
0.5,800,36,26.2913,0.9688,22.9105,0.9091,0.0064,0.2558,25.2623,0.3755
0.7,100,1,32.451,0.9946,26.4435,0.9922,0.0009,0.0952,24.4935,0.0383
0.7,100,2,30.9608,0.9914,24.1593,0.9889,0.0011,0.1079,20.7035,0.0634
0.7,100,4,29.7594,0.9916,24.0195,0.9809,0.0013,0.1211,20.8745,0.0975
0.7,100,8,29.8208,0.9909,24.9932,0.9754,0.0019,0.1543,23.2783,0.1619
0.7,100,12,29.549,0.9862,24.6201,0.9715,0.0058,0.1888,24.2275,0.1869
0.7,100,16,28.9012,0.9884,24.4012,0.9433,0.0051,0.1753,24.3142,0.216
0.7,100,20,27.9847,0.9862,24.3897,0.9375,0.0048,0.1739,25.0445,0.2472
0.7,100,28,26.6733,0.9738,22.8584,0.9101,0.0065,0.1679,22.8006,0.3
0.7,100,36,25.862,0.9688,22.6142,0.9084,0.0058,0.2096,23.7333,0.353
0.7,400,1,32.6255,0.9946,26.3275,0.9936,0.0009,0.0876,24.6588,0.0175
0.7,400,2,30.9608,0.9911,23.9826,0.9889,0.0011,0.1008,20.5697,0.0358
0.7,400,4,29.8204,0.9913,23.9574,0.9809,0.0013,0.1128,21.0266,0.072
0.7,400,8,29.6864,0.9897,24.9946,0.9754,0.0013,0.1458,23.5524,0.1215
0.7,400,12,29.5285,0.9859,24.6003,0.9717,0.0058,0.18,24.297,0.1543
0.7,400,16,28.9337,0.9885,24.3812,0.9435,0.0051,0.1655,24.7959,0.1909
0.7,400,20,27.9739,0.9862,24.3743,0.9377,0.0048,0.1708,25.2178,0.217
0.7,400,28,26.6556,0.9738,22.8127,0.9101,0.006,0.1613,22.8152,0.2675
0.7,400,36,25.8645,0.9688,22.6142,0.9084,0.0058,0.2078,23.7738,0.3263
0.7,800,1,32.2576,0.9945,26.1419,0.9936,0.0009,0.0819,24.7377,0.0
0.7,800,2,30.9302,0.9906,23.818,0.9889,0.0011,0.097,20.6587,0.0229
0.7,800,4,29.7563,0.991,23.8689,0.9821,0.0013,0.105,21.1291,0.0485
0.7,800,8,29.724,0.9896,25.1052,0.9754,0.0013,0.1408,23.6652,0.099
0.7,800,12,29.553,0.9859,24.5712,0.9717,0.0058,0.1786,24.3321,0.142
0.7,800,16,28.8515,0.9882,24.2297,0.9435,0.0051,0.1631,25.196,0.1634
0.7,800,20,27.9573,0.986,24.3381,0.9376,0.0048,0.1678,25.169,0.1852
0.7,800,28,26.5945,0.9738,22.7676,0.9101,0.006,0.1591,22.8835,0.2422
0.7,800,36,25.7899,0.9683,22.5435,0.9084,0.0058,0.2035,23.894,0.2916
