iter,def_pres_1,recall_36,psnr_dmg_36,ft_gap_def,ft_gap_recall,ft_gap_psnr
5000,0.9938942652329749,0.8025712414018997,16.506844596797244,0.0192,-0.1664,-6.713
10000,0.9800763380621066,0.8970588235294118,19.091648574495693,0.0054,-0.0719,-4.128
15000,0.9873162370520057,0.9124895572263994,19.19191010248632,0.0126,-0.0565,-4.028
20000,0.9884194116551802,0.9333333333333332,20.74290137479514,0.0137,-0.0357,-2.477
25000,0.9878664874551971,0.9411764705882352,21.185861826278494,0.0132,-0.0278,-2.034
30000,0.9925887096774193,0.9025155279503105,19.17472438698636,0.0179,-0.0665,-4.045
35000,0.9944360952983344,0.9052111410601977,19.699437991202746,0.0197,-0.0638,-3.521
40000,0.9885366744489136,0.9290744466800804,19.743981497658968,0.0138,-0.0399,-3.476
45000,0.9888106984729376,0.9195959595959596,19.40853731283191,0.0141,-0.0494,-3.811
50000,0.9870688684075781,0.9151742884553886,19.386372929422315,0.0124,-0.0538,-3.834
55000,0.98577363031234,0.9128709454796412,19.76114655316333,0.0111,-0.0561,-3.459
60000,0.9878786086673184,0.8952741702741702,18.779008491586175,0.0132,-0.0737,-4.441
65000,0.9881545826932924,0.9288526434195725,20.37154677000547,0.0135,-0.0401,-2.848
70000,0.9855730189867288,0.9285714285714286,20.31480689325287,0.0109,-0.0404,-2.905
75000,0.9842260112647209,0.9218070652173913,20.037909840798797,0.0095,-0.0472,-3.182
80000,0.9833646667269059,0.9356452726017943,20.754097716847248,0.0087,-0.0334,-2.466
85000,0.9849022017409115,0.9405882352941175,21.11878107817189,0.0102,-0.0284,-2.101
90000,0.9840785575657967,0.9375,21.118569190911813,0.0094,-0.0315,-2.101
95000,0.9842035575657967,0.9390010147705491,20.93422263166246,0.0095,-0.03,-2.286
100000,0.9842035575657967,0.9369724054763424,20.87734262434433,0.0095,-0.032,-2.343
